"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Poland","2017","Total","Male","Plock","City proper","Estimate - de jure","Final figure, complete","2018","56581","1,2"
"Poland","2017","Total","Male","Poznan","City proper","Estimate - de jure","Final figure, complete","2018","251515","1,2"
"Poland","2017","Total","Male","Radom","City proper","Estimate - de jure","Final figure, complete","2018","100980","1,2"
"Poland","2017","Total","Male","Ruda Slaska","City proper","Estimate - de jure","Final figure, complete","2018","66521","1,2"
"Poland","2017","Total","Male","Rybnik","City proper","Estimate - de jure","Final figure, complete","2018","67049","1,2"
"Poland","2017","Total","Male","Rzeszów","City proper","Estimate - de jure","Final figure, complete","2018","88270","1,2"
"Poland","2017","Total","Male","Slupsk","City proper","Estimate - de jure","Final figure, complete","2018","42471","1,2"
"Poland","2017","Total","Male","Sosnowiec","City proper","Estimate - de jure","Final figure, complete","2018","96035","1,2"
"Poland","2017","Total","Male","Szczecin","City proper","Estimate - de jure","Final figure, complete","2018","191243","1,2"
"Poland","2017","Total","Male","Tarnów","City proper","Estimate - de jure","Final figure, complete","2018","50282","1,2"
"Poland","2017","Total","Male","Torun","City proper","Estimate - de jure","Final figure, complete","2018","92705","1,2"
"Poland","2017","Total","Male","Tychy","City proper","Estimate - de jure","Final figure, complete","2018","61053","1,2"
"Poland","2017","Total","Male","Walbrzych","City proper","Estimate - de jure","Final figure, complete","2018","53132","1,2"
"Poland","2017","Total","Male","WARSZAWA","City proper","Estimate - de jure","Final figure, complete","2018","806730","1,2"
"Poland","2017","Total","Male","Wloclawek","City proper","Estimate - de jure","Final figure, complete","2018","51999","1,2"
"Poland","2017","Total","Male","Wroclaw","City proper","Estimate - de jure","Final figure, complete","2018","297251","1,2"
"Poland","2017","Total","Male","Zabrze","City proper","Estimate - de jure","Final figure, complete","2018","83411","1,2"
"Poland","2017","Total","Male","Zielona Góra","City proper","Estimate - de jure","Final figure, complete","2018","66649","1,2"
"Poland","2017","Total","Female","Bialystok","City proper","Estimate - de jure","Final figure, complete","2018","156128","1,2"
"Poland","2017","Total","Female","Bielsko-Biala","City proper","Estimate - de jure","Final figure, complete","2018","89722","1,2"
"Poland","2017","Total","Female","Bydgoszcz","City proper","Estimate - de jure","Final figure, complete","2018","186684","1,2"
"Poland","2017","Total","Female","Bytom","City proper","Estimate - de jure","Final figure, complete","2018","87536","1,2"
"Poland","2017","Total","Female","Chorzów","City proper","Estimate - de jure","Final figure, complete","2018","56823","1,2"
"Poland","2017","Total","Female","Czestochowa","City proper","Estimate - de jure","Final figure, complete","2018","118554","1,2"
"Poland","2017","Total","Female","Dabrowa Górnicza","City proper","Estimate - de jure","Final figure, complete","2018","62737","1,2"
"Poland","2017","Total","Female","Elblag","City proper","Estimate - de jure","Final figure, complete","2018","62124","1,2"
"Poland","2017","Total","Female","Gdansk","City proper","Estimate - de jure","Final figure, complete","2018","243323","1,2"
"Poland","2017","Total","Female","Gdynia","City proper","Estimate - de jure","Final figure, complete","2018","128710","1,2"
"Poland","2017","Total","Female","Gliwice","City proper","Estimate - de jure","Final figure, complete","2018","93481","1,2"
"Poland","2017","Total","Female","Gorzów Wielkopolski","City proper","Estimate - de jure","Final figure, complete","2018","64247","1,2"
"Poland","2017","Total","Female","Grudziadz","City proper","Estimate - de jure","Final figure, complete","2018","49383","1,2"
"Poland","2017","Total","Female","Jastrzebie-Zdrój","City proper","Estimate - de jure","Final figure, complete","2018","45449","1,2"
"Poland","2017","Total","Female","Kalisz","City proper","Estimate - de jure","Final figure, complete","2018","53936","1,2"
